time,N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs),avg(height),
4.157,1,37,-3.40639,-1.01353,0,3.55398,11955.6,-0.321402,0.001147,0,0.321404,18.8203,4.519,0,0.321402,4.519,
4.270,1,38,-2.09365,-4.19153,0,4.68533,2307.35,-0.550607,-0.181065,0,0.579614,18.7725,4.51282,0,0.550607,4.51282,
4.382,1,39,1.5256,-6.54922,0,6.72456,-1912.87,-0.60688,-0.939097,0,1.11813,18.2793,4.17491,0,0.60688,4.17491,
4.494,1,40,3.30934,-0.691759,0,3.38087,7058.52,-0.747029,-1.67078,0,1.83018,18.6094,4.29927,0,0.747029,4.29927,
4.607,1,41,-2.38551,-5.70267,0,6.18151,586.978,-1.71722,-1.79699,0,2.48556,18.0594,3.88344,0,1.71722,3.88344,
4.719,1,42,-0.240681,-3.55219,0,3.56033,2206.12,-0.64444,-2.41774,0,2.50215,18.4804,3.88934,0,0.64444,3.88934,
4.831,1,43,-4.24182,2.45166,0,4.89935,10780.4,-2.54792,-2.31887,0,3.44514,17.6275,3.40603,0,2.54792,3.40603,
4.944,1,44,0.393643,6.25373,0,6.26611,11493.7,-2.67612,-1.7756,0,3.2116,17.3414,3.1794,0,2.67612,3.1794,
5.056,1,45,-3.33441,4.5281,0,5.62334,10999.1,-0.966601,-1.9716,0,2.1958,18.2621,3.14421,0,0.966601,3.14421,
5.169,1,46,-0.803989,-2.05043,0,2.20242,358.994,-2.88829,-0.345367,0,2.90886,15.9886,3.03653,0,2.88829,3.03653,
5.281,1,47,1.29963,-1.7348,0,2.16761,7207.17,-1.92387,0.453952,0,1.9767,13.6872,3.01454,0,1.92387,3.01454,
5.393,1,48,1.47689,-1.78994,0,2.32058,6349.97,-1.77831,0.301336,0,1.80366,13.485,3.05642,0,1.77831,3.05642,
5.506,1,49,0.126453,-2.63009,0,2.63313,4554.02,-1.7281,0.066562,0,1.72939,13.2951,3.07786,0,1.7281,3.07786,
5.618,1,50,0.377521,-3.57153,0,3.59142,3551,-1.71367,-0.283821,0,1.73701,13.1051,3.06797,0,1.71367,3.06797,
5.730,1,51,-0.16022,-1.72435,0,1.73178,4722.67,-1.70251,-0.567431,0,1.79458,12.9164,3.01969,0,1.70251,3.01969,
5.843,1,52,1.76733,-0.765729,0,1.92608,5536.18,-1.63626,-0.584154,0,1.7374,13.2489,2.9597,0,1.63626,2.9597,
5.955,1,53,1.17076,-2.83042,0,3.063,2779.08,-1.44808,-0.743982,0,1.62802,13.0816,2.89021,0,1.44808,2.89021,
6.067,1,54,0.341087,-2.48967,0,2.51293,4559.26,-1.33925,1.54408,0,2.04396,7.95114,2.98127,0,1.33925,2.98127,
6.180,1,55,0.7059,-4.56463,0,4.61889,1849.47,-1.28795,1.13671,0,1.71782,7.80652,3.13153,0,1.28795,3.13153,
6.292,1,56,0.28155,-1.75079,0,1.77329,2098.83,-1.23976,0.829159,0,1.49148,7.66914,3.2365,0,1.23976,3.2365,
6.404,1,57,-0.50064,-3.02504,0,3.06618,-47.3752,-1.23337,0.665586,0,1.4015,7.53398,3.3209,0,1.23337,3.3209,
6.517,1,58,-1.37746,-3.80681,0,4.04836,457.802,-1.3068,0.302005,0,1.34125,7.39499,3.37637,0,1.3068,3.37637,
6.629,1,59,-0.923306,-4.15487,0,4.25622,2868.06,-1.4127,-0.093738,0,1.4158,7.24423,3.38979,0,1.4127,3.38979,
6.742,1,60,-0.491717,-3.57696,0,3.6106,4433.34,-1.46756,-0.523786,0,1.55823,7.08444,3.35625,0,1.46756,3.35625,
6.854,1,61,-1.49096,-0.1278,0,1.49643,6443.44,-1.57936,-0.711283,0,1.73214,6.91772,3.28513,0,1.57936,3.28513,
6.966,1,62,-1.53209,-0.302173,0,1.5616,5466.53,-1.76561,-0.644802,0,1.87967,6.73575,3.21153,0,1.76561,3.21153,
7.079,1,63,-0.620311,-1.73029,0,1.83812,5282.95,-1.87472,-0.775878,0,2.02893,6.53668,3.13576,0,1.87472,3.13576,
7.191,1,64,-0.332014,-2.81752,0,2.83701,799.752,-1.12955,1.10249,0,1.57841,1.81269,3.15976,0,1.12955,3.15976,
7.303,1,65,-1.52119,0.503851,0,1.60246,6090.29,-1.28131,1.03174,0,1.64507,1.68064,3.27491,0,1.28131,3.27491,
7.416,1,66,0.648364,0.844009,0,1.0643,7979.87,-1.35878,1.18798,0,1.80487,1.53261,3.39716,0,1.35878,3.39716,
7.528,1,67,3.31864,-0.921876,0,3.44431,7475.95,-1.11383,1.20194,0,1.63868,1.39333,3.5304,0,1.11383,3.5304,
7.640,1,68,4.43897,-3.84008,0,5.86946,8216.09,-0.659345,0.961541,0,1.16589,1.29384,3.6528,0,0.659345,3.6528,
7.753,1,69,1.58112,-2.82092,0,3.23382,-214.481,-0.596861,0.770611,0,0.974723,2.40025,3.74129,0,0.596861,3.74129,
7.865,1,70,6.65483,-3.09822,0,7.34069,12791.8,-0.690324,0.510384,0,0.85851,1.82234,3.62391,0,0.690324,3.62391,
7.978,1,71,-0.236626,-4.52947,0,4.53564,9269.18,0.57378,0.425658,0,0.714429,0.603541,3.26786,0,0.57378,3.26786,
8.090,1,72,2.15763,-4.15451,0,4.68138,4996.34,0.582502,-0.573444,0,0.817402,2.39356,3.79634,0,0.582502,3.79634,
8.202,1,73,-0.236008,-6.60416,0,6.60838,1682.15,0.323458,-0.523787,0,0.615612,0.788188,4.26593,0,0.323458,4.26593,
8.315,1,74,-0.931009,-1.25774,0,1.56483,9217.27,0.273556,-0.955532,0,0.993919,0.822537,4.17882,0,0.273556,4.17882,
8.427,1,75,2.69183,-5.18828,0,5.84501,7580.59,0.759377,-1.03661,0,1.285,1.27586,3.61503,0,0.759377,3.61503,
8.539,1,76,-0.349884,-2.07803,0,2.10728,9778.8,0.870444,-1.44571,0,1.68753,1.36904,3.47542,0,0.870444,3.47542,
8.652,1,77,0.390623,-0.395968,0,0.556217,4107.8,1.53437,0.055952,0,1.53539,4.04846,3.34532,0,1.53437,3.34532,
8.764,1,78,2.31733,1.34911,0,2.68144,11742.5,0.529901,-1.39066,0,1.4882,0.963315,3.59493,0,0.529901,3.59493,
8.876,1,79,1.22491,-2.22835,0,2.54283,6669,0.743371,-1.48866,0,1.66394,1.03442,3.43972,0,0.743371,3.43972,
8.989,1,80,-1.81491,-0.574687,0,1.90372,7330.9,1.38121,-0.53879,0,1.48258,4.55814,3.26628,0,1.38121,3.26628,
