N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs_v),avg(height),avg(vtkOriginalPointIds),max(Acceleration (0)),max(Acceleration (1)),max(Acceleration (2)),max(Acceleration (Magnitude)),max(Pressure),max(Velocity (0)),max(Velocity (1)),max(Velocity (2)),max(Velocity (Magnitude)),max(X),max(Y),max(Z),max(abs_v),max(height),max(vtkOriginalPointIds),med(Acceleration (0)),med(Acceleration (1)),med(Acceleration (2)),med(Acceleration (Magnitude)),med(Pressure),med(Velocity (0)),med(Velocity (1)),med(Velocity (2)),med(Velocity (Magnitude)),med(X),med(Y),med(Z),med(abs_v),med(height),med(vtkOriginalPointIds),min(Acceleration (0)),min(Acceleration (1)),min(Acceleration (2)),min(Acceleration (Magnitude)),min(Pressure),min(Velocity (0)),min(Velocity (1)),min(Velocity (2)),min(Velocity (Magnitude)),min(X),min(Y),min(Z),min(abs_v),min(height),min(vtkOriginalPointIds),q1(Acceleration (0)),q1(Acceleration (1)),q1(Acceleration (2)),q1(Acceleration (Magnitude)),q1(Pressure),q1(Velocity (0)),q1(Velocity (1)),q1(Velocity (2)),q1(Velocity (Magnitude)),q1(X),q1(Y),q1(Z),q1(abs_v),q1(height),q1(vtkOriginalPointIds),q3(Acceleration (0)),q3(Acceleration (1)),q3(Acceleration (2)),q3(Acceleration (Magnitude)),q3(Pressure),q3(Velocity (0)),q3(Velocity (1)),q3(Velocity (2)),q3(Velocity (Magnitude)),q3(X),q3(Y),q3(Z),q3(abs_v),q3(height),q3(vtkOriginalPointIds),std(Acceleration (0)),std(Acceleration (1)),std(Acceleration (2)),std(Acceleration (Magnitude)),std(Pressure),std(Velocity (0)),std(Velocity (1)),std(Velocity (2)),std(Velocity (Magnitude)),std(X),std(Y),std(Z),std(abs_v),std(height),std(vtkOriginalPointIds),Block Number,Row ID,vtkValidPointMask
1,10,-5.16761,-3.93738,0,6.4967,478.525,-0.398764,-0.969978,0,1.04875,0.082277,4.9359,0,0.398764,4.9359,669,-5.16761,-3.93738,0,6.4967,478.525,-0.398764,-0.969978,0,1.04875,0.082277,4.9359,0,0.398764,4.9359,669,-5.16761,-3.93738,0,6.4967,478.525,-0.398764,-0.969978,0,1.04875,0.082277,4.9359,0,0.398764,4.9359,669,-5.16761,-3.93738,0,6.4967,478.525,-0.398764,-0.969978,0,1.04875,0.082277,4.9359,0,0.398764,4.9359,669,-5.16761,-3.93738,0,6.4967,478.525,-0.398764,-0.969978,0,1.04875,0.082277,4.9359,0,0.398764,4.9359,669,-5.16761,-3.93738,0,6.4967,478.525,-0.398764,-0.969978,0,1.04875,0.082277,4.9359,0,0.398764,4.9359,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1
1,11,-4.9105,-2.7398,0,5.62312,635.355,-0.458747,-1.03202,0,1.12939,0.077531,4.92478,0,0.458747,4.92478,721,-4.9105,-2.7398,0,5.62312,635.355,-0.458747,-1.03202,0,1.12939,0.077531,4.92478,0,0.458747,4.92478,721,-4.9105,-2.7398,0,5.62312,635.355,-0.458747,-1.03202,0,1.12939,0.077531,4.92478,0,0.458747,4.92478,721,-4.9105,-2.7398,0,5.62312,635.355,-0.458747,-1.03202,0,1.12939,0.077531,4.92478,0,0.458747,4.92478,721,-4.9105,-2.7398,0,5.62312,635.355,-0.458747,-1.03202,0,1.12939,0.077531,4.92478,0,0.458747,4.92478,721,-4.9105,-2.7398,0,5.62312,635.355,-0.458747,-1.03202,0,1.12939,0.077531,4.92478,0,0.458747,4.92478,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1
1,12,-3.75499,-0.4223,0,3.77866,942.683,-0.513764,-1.0771,0,1.19335,0.0722,4.91319,0,0.513764,4.91319,730,-3.75499,-0.4223,0,3.77866,942.683,-0.513764,-1.0771,0,1.19335,0.0722,4.91319,0,0.513764,4.91319,730,-3.75499,-0.4223,0,3.77866,942.683,-0.513764,-1.0771,0,1.19335,0.0722,4.91319,0,0.513764,4.91319,730,-3.75499,-0.4223,0,3.77866,942.683,-0.513764,-1.0771,0,1.19335,0.0722,4.91319,0,0.513764,4.91319,730,-3.75499,-0.4223,0,3.77866,942.683,-0.513764,-1.0771,0,1.19335,0.0722,4.91319,0,0.513764,4.91319,730,-3.75499,-0.4223,0,3.77866,942.683,-0.513764,-1.0771,0,1.19335,0.0722,4.91319,0,0.513764,4.91319,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1
1,13,-1.48804,2.62763,0,3.01972,1358.85,-0.553624,-1.09503,0,1.22703,0.066403,4.90138,0,0.553624,4.90138,730,-1.48804,2.62763,0,3.01972,1358.85,-0.553624,-1.09503,0,1.22703,0.066403,4.90138,0,0.553624,4.90138,730,-1.48804,2.62763,0,3.01972,1358.85,-0.553624,-1.09503,0,1.22703,0.066403,4.90138,0,0.553624,4.90138,730,-1.48804,2.62763,0,3.01972,1358.85,-0.553624,-1.09503,0,1.22703,0.066403,4.90138,0,0.553624,4.90138,730,-1.48804,2.62763,0,3.01972,1358.85,-0.553624,-1.09503,0,1.22703,0.066403,4.90138,0,0.553624,4.90138,730,-1.48804,2.62763,0,3.01972,1358.85,-0.553624,-1.09503,0,1.22703,0.066403,4.90138,0,0.553624,4.90138,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1
1,14,0.420379,4.2474,0,4.26815,1553.8,-0.574068,-1.08908,0,1.23112,0.060354,4.88967,0,0.574068,4.88967,688,0.420379,4.2474,0,4.26815,1553.8,-0.574068,-1.08908,0,1.23112,0.060354,4.88967,0,0.574068,4.88967,688,0.420379,4.2474,0,4.26815,1553.8,-0.574068,-1.08908,0,1.23112,0.060354,4.88967,0,0.574068,4.88967,688,0.420379,4.2474,0,4.26815,1553.8,-0.574068,-1.08908,0,1.23112,0.060354,4.88967,0,0.574068,4.88967,688,0.420379,4.2474,0,4.26815,1553.8,-0.574068,-1.08908,0,1.23112,0.060354,4.88967,0,0.574068,4.88967,688,0.420379,4.2474,0,4.26815,1553.8,-0.574068,-1.08908,0,1.23112,0.060354,4.88967,0,0.574068,4.88967,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1
1,15,1.17819,3.81501,0,3.9928,1533.43,-0.583776,-1.07774,0,1.22569,0.054219,4.87819,0,0.583776,4.87819,589,1.17819,3.81501,0,3.9928,1533.43,-0.583776,-1.07774,0,1.22569,0.054219,4.87819,0,0.583776,4.87819,589,1.17819,3.81501,0,3.9928,1533.43,-0.583776,-1.07774,0,1.22569,0.054219,4.87819,0,0.583776,4.87819,589,1.17819,3.81501,0,3.9928,1533.43,-0.583776,-1.07774,0,1.22569,0.054219,4.87819,0,0.583776,4.87819,589,1.17819,3.81501,0,3.9928,1533.43,-0.583776,-1.07774,0,1.22569,0.054219,4.87819,0,0.583776,4.87819,589,1.17819,3.81501,0,3.9928,1533.43,-0.583776,-1.07774,0,1.22569,0.054219,4.87819,0,0.583776,4.87819,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1
1,16,1.37448,2.77238,0,3.09439,1500.37,-0.592435,-1.07509,0,1.22752,0.048049,4.86691,0,0.592435,4.86691,410,1.37448,2.77238,0,3.09439,1500.37,-0.592435,-1.07509,0,1.22752,0.048049,4.86691,0,0.592435,4.86691,410,1.37448,2.77238,0,3.09439,1500.37,-0.592435,-1.07509,0,1.22752,0.048049,4.86691,0,0.592435,4.86691,410,1.37448,2.77238,0,3.09439,1500.37,-0.592435,-1.07509,0,1.22752,0.048049,4.86691,0,0.592435,4.86691,410,1.37448,2.77238,0,3.09439,1500.37,-0.592435,-1.07509,0,1.22752,0.048049,4.86691,0,0.592435,4.86691,410,1.37448,2.77238,0,3.09439,1500.37,-0.592435,-1.07509,0,1.22752,0.048049,4.86691,0,0.592435,4.86691,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1
1,17,2.01538,2.70512,0,3.37334,1607.53,-0.601814,-1.07892,0,1.23541,0.041844,4.85572,0,0.601814,4.85572,309,2.01538,2.70512,0,3.37334,1607.53,-0.601814,-1.07892,0,1.23541,0.041844,4.85572,0,0.601814,4.85572,309,2.01538,2.70512,0,3.37334,1607.53,-0.601814,-1.07892,0,1.23541,0.041844,4.85572,0,0.601814,4.85572,309,2.01538,2.70512,0,3.37334,1607.53,-0.601814,-1.07892,0,1.23541,0.041844,4.85572,0,0.601814,4.85572,309,2.01538,2.70512,0,3.37334,1607.53,-0.601814,-1.07892,0,1.23541,0.041844,4.85572,0,0.601814,4.85572,309,2.01538,2.70512,0,3.37334,1607.53,-0.601814,-1.07892,0,1.23541,0.041844,4.85572,0,0.601814,4.85572,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1
1,18,3.94632,4.171,0,5.74201,1902.12,-0.604529,-1.07645,0,1.23458,0.035635,4.84465,0,0.604529,4.84465,204,3.94632,4.171,0,5.74201,1902.12,-0.604529,-1.07645,0,1.23458,0.035635,4.84465,0,0.604529,4.84465,204,3.94632,4.171,0,5.74201,1902.12,-0.604529,-1.07645,0,1.23458,0.035635,4.84465,0,0.604529,4.84465,204,3.94632,4.171,0,5.74201,1902.12,-0.604529,-1.07645,0,1.23458,0.035635,4.84465,0,0.604529,4.84465,204,3.94632,4.171,0,5.74201,1902.12,-0.604529,-1.07645,0,1.23458,0.035635,4.84465,0,0.604529,4.84465,204,3.94632,4.171,0,5.74201,1902.12,-0.604529,-1.07645,0,1.23458,0.035635,4.84465,0,0.604529,4.84465,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1
1,19,7.75628,6.16119,0,9.90556,2397.85,-0.58444,-1.05614,0,1.20707,0.029563,4.83381,0,0.58444,4.83381,216,7.75628,6.16119,0,9.90556,2397.85,-0.58444,-1.05614,0,1.20707,0.029563,4.83381,0,0.58444,4.83381,216,7.75628,6.16119,0,9.90556,2397.85,-0.58444,-1.05614,0,1.20707,0.029563,4.83381,0,0.58444,4.83381,216,7.75628,6.16119,0,9.90556,2397.85,-0.58444,-1.05614,0,1.20707,0.029563,4.83381,0,0.58444,4.83381,216,7.75628,6.16119,0,9.90556,2397.85,-0.58444,-1.05614,0,1.20707,0.029563,4.83381,0,0.58444,4.83381,216,7.75628,6.16119,0,9.90556,2397.85,-0.58444,-1.05614,0,1.20707,0.029563,4.83381,0,0.58444,4.83381,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1
