N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs_V),avg(height),avg(vtkOriginalPointIds),max(Acceleration (0)),max(Acceleration (1)),max(Acceleration (2)),max(Acceleration (Magnitude)),max(Pressure),max(Velocity (0)),max(Velocity (1)),max(Velocity (2)),max(Velocity (Magnitude)),max(X),max(Y),max(Z),max(abs_V),max(height),max(vtkOriginalPointIds),med(Acceleration (0)),med(Acceleration (1)),med(Acceleration (2)),med(Acceleration (Magnitude)),med(Pressure),med(Velocity (0)),med(Velocity (1)),med(Velocity (2)),med(Velocity (Magnitude)),med(X),med(Y),med(Z),med(abs_V),med(height),med(vtkOriginalPointIds),min(Acceleration (0)),min(Acceleration (1)),min(Acceleration (2)),min(Acceleration (Magnitude)),min(Pressure),min(Velocity (0)),min(Velocity (1)),min(Velocity (2)),min(Velocity (Magnitude)),min(X),min(Y),min(Z),min(abs_V),min(height),min(vtkOriginalPointIds),q1(Acceleration (0)),q1(Acceleration (1)),q1(Acceleration (2)),q1(Acceleration (Magnitude)),q1(Pressure),q1(Velocity (0)),q1(Velocity (1)),q1(Velocity (2)),q1(Velocity (Magnitude)),q1(X),q1(Y),q1(Z),q1(abs_V),q1(height),q1(vtkOriginalPointIds),q3(Acceleration (0)),q3(Acceleration (1)),q3(Acceleration (2)),q3(Acceleration (Magnitude)),q3(Pressure),q3(Velocity (0)),q3(Velocity (1)),q3(Velocity (2)),q3(Velocity (Magnitude)),q3(X),q3(Y),q3(Z),q3(abs_V),q3(height),q3(vtkOriginalPointIds),std(Acceleration (0)),std(Acceleration (1)),std(Acceleration (2)),std(Acceleration (Magnitude)),std(Pressure),std(Velocity (0)),std(Velocity (1)),std(Velocity (2)),std(Velocity (Magnitude)),std(X),std(Y),std(Z),std(abs_V),std(height),std(vtkOriginalPointIds),Block Number,Row ID,vtkValidPointMask
1,10,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1
1,11,6.72245,-1.17807,0,6.82489,1790.82,0.640478,-3.70797,0,3.76288,2.86282,3.85651,0,0.640478,3.85651,308,6.72245,-1.17807,0,6.82489,1790.82,0.640478,-3.70797,0,3.76288,2.86282,3.85651,0,0.640478,3.85651,308,6.72245,-1.17807,0,6.82489,1790.82,0.640478,-3.70797,0,3.76288,2.86282,3.85651,0,0.640478,3.85651,308,6.72245,-1.17807,0,6.82489,1790.82,0.640478,-3.70797,0,3.76288,2.86282,3.85651,0,0.640478,3.85651,308,6.72245,-1.17807,0,6.82489,1790.82,0.640478,-3.70797,0,3.76288,2.86282,3.85651,0,0.640478,3.85651,308,6.72245,-1.17807,0,6.82489,1790.82,0.640478,-3.70797,0,3.76288,2.86282,3.85651,0,0.640478,3.85651,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1
1,12,4.35582,-1.40502,0,4.57682,-236.962,0.621401,-2.71409,0,2.78432,2.29024,3.68905,0,0.621401,3.68905,294,4.35582,-1.40502,0,4.57682,-236.962,0.621401,-2.71409,0,2.78432,2.29024,3.68905,0,0.621401,3.68905,294,4.35582,-1.40502,0,4.57682,-236.962,0.621401,-2.71409,0,2.78432,2.29024,3.68905,0,0.621401,3.68905,294,4.35582,-1.40502,0,4.57682,-236.962,0.621401,-2.71409,0,2.78432,2.29024,3.68905,0,0.621401,3.68905,294,4.35582,-1.40502,0,4.57682,-236.962,0.621401,-2.71409,0,2.78432,2.29024,3.68905,0,0.621401,3.68905,294,4.35582,-1.40502,0,4.57682,-236.962,0.621401,-2.71409,0,2.78432,2.29024,3.68905,0,0.621401,3.68905,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1
1,13,0.014838,0.14626,0,0.147011,5309.77,0.677933,-2.66573,0,2.75058,2.31765,3.57846,0,0.677933,3.57846,248,0.014838,0.14626,0,0.147011,5309.77,0.677933,-2.66573,0,2.75058,2.31765,3.57846,0,0.677933,3.57846,248,0.014838,0.14626,0,0.147011,5309.77,0.677933,-2.66573,0,2.75058,2.31765,3.57846,0,0.677933,3.57846,248,0.014838,0.14626,0,0.147011,5309.77,0.677933,-2.66573,0,2.75058,2.31765,3.57846,0,0.677933,3.57846,248,0.014838,0.14626,0,0.147011,5309.77,0.677933,-2.66573,0,2.75058,2.31765,3.57846,0,0.677933,3.57846,248,0.014838,0.14626,0,0.147011,5309.77,0.677933,-2.66573,0,2.75058,2.31765,3.57846,0,0.677933,3.57846,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1
1,14,3.69141,-1.40602,0,3.95011,-1528.13,0.790086,-2.74966,0,2.86092,2.34724,3.46634,0,0.790086,3.46634,257,3.69141,-1.40602,0,3.95011,-1528.13,0.790086,-2.74966,0,2.86092,2.34724,3.46634,0,0.790086,3.46634,257,3.69141,-1.40602,0,3.95011,-1528.13,0.790086,-2.74966,0,2.86092,2.34724,3.46634,0,0.790086,3.46634,257,3.69141,-1.40602,0,3.95011,-1528.13,0.790086,-2.74966,0,2.86092,2.34724,3.46634,0,0.790086,3.46634,257,3.69141,-1.40602,0,3.95011,-1528.13,0.790086,-2.74966,0,2.86092,2.34724,3.46634,0,0.790086,3.46634,257,3.69141,-1.40602,0,3.95011,-1528.13,0.790086,-2.74966,0,2.86092,2.34724,3.46634,0,0.790086,3.46634,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1
1,15,-1.37314,-1.81984,0,2.27977,7032.92,3.04087,3.60315,0,4.71483,4.40124,3.54885,0,3.04087,3.54885,226,-1.37314,-1.81984,0,2.27977,7032.92,3.04087,3.60315,0,4.71483,4.40124,3.54885,0,3.04087,3.54885,226,-1.37314,-1.81984,0,2.27977,7032.92,3.04087,3.60315,0,4.71483,4.40124,3.54885,0,3.04087,3.54885,226,-1.37314,-1.81984,0,2.27977,7032.92,3.04087,3.60315,0,4.71483,4.40124,3.54885,0,3.04087,3.54885,226,-1.37314,-1.81984,0,2.27977,7032.92,3.04087,3.60315,0,4.71483,4.40124,3.54885,0,3.04087,3.54885,226,-1.37314,-1.81984,0,2.27977,7032.92,3.04087,3.60315,0,4.71483,4.40124,3.54885,0,3.04087,3.54885,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1
1,16,5.1036,4.34001,0,6.69943,-5797.99,2.00981,5.24004,0,5.61225,4.49406,3.53741,0,2.00981,3.53741,203,5.1036,4.34001,0,6.69943,-5797.99,2.00981,5.24004,0,5.61225,4.49406,3.53741,0,2.00981,3.53741,203,5.1036,4.34001,0,6.69943,-5797.99,2.00981,5.24004,0,5.61225,4.49406,3.53741,0,2.00981,3.53741,203,5.1036,4.34001,0,6.69943,-5797.99,2.00981,5.24004,0,5.61225,4.49406,3.53741,0,2.00981,3.53741,203,5.1036,4.34001,0,6.69943,-5797.99,2.00981,5.24004,0,5.61225,4.49406,3.53741,0,2.00981,3.53741,203,5.1036,4.34001,0,6.69943,-5797.99,2.00981,5.24004,0,5.61225,4.49406,3.53741,0,2.00981,3.53741,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1
1,17,4.97624,2.75793,0,5.68939,2535.23,0.689677,-2.87071,0,2.9524,2.14023,3.38261,0,0.689677,3.38261,270,4.97624,2.75793,0,5.68939,2535.23,0.689677,-2.87071,0,2.9524,2.14023,3.38261,0,0.689677,3.38261,270,4.97624,2.75793,0,5.68939,2535.23,0.689677,-2.87071,0,2.9524,2.14023,3.38261,0,0.689677,3.38261,270,4.97624,2.75793,0,5.68939,2535.23,0.689677,-2.87071,0,2.9524,2.14023,3.38261,0,0.689677,3.38261,270,4.97624,2.75793,0,5.68939,2535.23,0.689677,-2.87071,0,2.9524,2.14023,3.38261,0,0.689677,3.38261,270,4.97624,2.75793,0,5.68939,2535.23,0.689677,-2.87071,0,2.9524,2.14023,3.38261,0,0.689677,3.38261,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1
1,18,57.883,4.11065,0,58.0288,-16171.3,2.69342,4.12854,0,4.92944,4.64714,3.90304,0,2.69342,3.90304,238,57.883,4.11065,0,58.0288,-16171.3,2.69342,4.12854,0,4.92944,4.64714,3.90304,0,2.69342,3.90304,238,57.883,4.11065,0,58.0288,-16171.3,2.69342,4.12854,0,4.92944,4.64714,3.90304,0,2.69342,3.90304,238,57.883,4.11065,0,58.0288,-16171.3,2.69342,4.12854,0,4.92944,4.64714,3.90304,0,2.69342,3.90304,238,57.883,4.11065,0,58.0288,-16171.3,2.69342,4.12854,0,4.92944,4.64714,3.90304,0,2.69342,3.90304,238,57.883,4.11065,0,58.0288,-16171.3,2.69342,4.12854,0,4.92944,4.64714,3.90304,0,2.69342,3.90304,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1
1,19,-16.3701,-2.40476,0,16.5457,2618.07,3.66847,3.83473,0,5.30687,4.78475,4.06352,0,3.66847,4.06352,234,-16.3701,-2.40476,0,16.5457,2618.07,3.66847,3.83473,0,5.30687,4.78475,4.06352,0,3.66847,4.06352,234,-16.3701,-2.40476,0,16.5457,2618.07,3.66847,3.83473,0,5.30687,4.78475,4.06352,0,3.66847,4.06352,234,-16.3701,-2.40476,0,16.5457,2618.07,3.66847,3.83473,0,5.30687,4.78475,4.06352,0,3.66847,4.06352,234,-16.3701,-2.40476,0,16.5457,2618.07,3.66847,3.83473,0,5.30687,4.78475,4.06352,0,3.66847,4.06352,234,-16.3701,-2.40476,0,16.5457,2618.07,3.66847,3.83473,0,5.30687,4.78475,4.06352,0,3.66847,4.06352,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1
