N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs_v),avg(height),avg(vtkOriginalPointIds),max(Acceleration (0)),max(Acceleration (1)),max(Acceleration (2)),max(Acceleration (Magnitude)),max(Pressure),max(Velocity (0)),max(Velocity (1)),max(Velocity (2)),max(Velocity (Magnitude)),max(X),max(Y),max(Z),max(abs_v),max(height),max(vtkOriginalPointIds),med(Acceleration (0)),med(Acceleration (1)),med(Acceleration (2)),med(Acceleration (Magnitude)),med(Pressure),med(Velocity (0)),med(Velocity (1)),med(Velocity (2)),med(Velocity (Magnitude)),med(X),med(Y),med(Z),med(abs_v),med(height),med(vtkOriginalPointIds),min(Acceleration (0)),min(Acceleration (1)),min(Acceleration (2)),min(Acceleration (Magnitude)),min(Pressure),min(Velocity (0)),min(Velocity (1)),min(Velocity (2)),min(Velocity (Magnitude)),min(X),min(Y),min(Z),min(abs_v),min(height),min(vtkOriginalPointIds),q1(Acceleration (0)),q1(Acceleration (1)),q1(Acceleration (2)),q1(Acceleration (Magnitude)),q1(Pressure),q1(Velocity (0)),q1(Velocity (1)),q1(Velocity (2)),q1(Velocity (Magnitude)),q1(X),q1(Y),q1(Z),q1(abs_v),q1(height),q1(vtkOriginalPointIds),q3(Acceleration (0)),q3(Acceleration (1)),q3(Acceleration (2)),q3(Acceleration (Magnitude)),q3(Pressure),q3(Velocity (0)),q3(Velocity (1)),q3(Velocity (2)),q3(Velocity (Magnitude)),q3(X),q3(Y),q3(Z),q3(abs_v),q3(height),q3(vtkOriginalPointIds),std(Acceleration (0)),std(Acceleration (1)),std(Acceleration (2)),std(Acceleration (Magnitude)),std(Pressure),std(Velocity (0)),std(Velocity (1)),std(Velocity (2)),std(Velocity (Magnitude)),std(X),std(Y),std(Z),std(abs_v),std(height),std(vtkOriginalPointIds),Block Number,Row ID,vtkValidPointMask
20,0,0,0,0,0,0,0,0,0,0,1.575,4.85,0,0,4.85,2060.5,0,0,0,0,0,0,0,0,0,3,4.85,0,0,4.85,2241,0,0,0,0,0,0,0,0,0,1.575,4.85,0,0,4.85,2060,0,0,0,0,0,0,0,0,0,0.15,4.85,0,0,4.85,1880,0,0,0,0,0,0,0,0,0,0.825,4.85,0,0,4.85,1965,0,0,0,0,0,0,0,0,0,2.325,4.85,0,0,4.85,2155,0,0,0,0,0,0,0,0,0,0.887412,0,0,0,0,112.406,1,0,1
4,1,-0.0060185,-5.08229,0,5.08243,407.347,8e-06,-0.159232,0,0.159232,10.05,0.298377,0,0.0001765,0.298377,11.5,0.039197,-5.07807,0,5.09132,410.359,0.000304,-0.1592,0,0.159263,19.5,0.298377,0,0.000304,0.298377,13,-0.0016195,-5.08007,0,5.08016,407.399,-2.5e-06,-0.159232,0,0.159232,10.05,0.298377,0,0.0001685,0.298377,11,-0.060032,-5.09097,0,5.07809,404.231,-0.000267,-0.159263,0,0.1592,0.599999,0.298377,0,6.5e-05,0.298377,10,-0.038845,-5.08602,0,5.0786,404.887,-0.0001685,-0.159262,0,0.159202,0.674999,0.298377,0,6.75e-05,0.298377,10,0.026808,-5.07857,0,5.08627,409.806,0.0001845,-0.159201,0,0.159262,19.425,0.298377,0,0.0002855,0.298377,12,0.0428761,0.005914,0,0.00606617,2.92509,0.000239843,3.49607e-05,0,3.51013e-05,10.8257,0,0,0.000126782,0,1.29099,1,1,1
1,2,4.19297,-6.84677,0,8.02865,-83.7337,0.063495,-0.353215,0,0.358877,19.9506,2.09317,0,0.063495,2.09317,47,4.19297,-6.84677,0,8.02865,-83.7337,0.063495,-0.353215,0,0.358877,19.9506,2.09317,0,0.063495,2.09317,47,4.19297,-6.84677,0,8.02865,-83.7337,0.063495,-0.353215,0,0.358877,19.9506,2.09317,0,0.063495,2.09317,47,4.19297,-6.84677,0,8.02865,-83.7337,0.063495,-0.353215,0,0.358877,19.9506,2.09317,0,0.063495,2.09317,47,4.19297,-6.84677,0,8.02865,-83.7337,0.063495,-0.353215,0,0.358877,19.9506,2.09317,0,0.063495,2.09317,47,4.19297,-6.84677,0,8.02865,-83.7337,0.063495,-0.353215,0,0.358877,19.9506,2.09317,0,0.063495,2.09317,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
1,3,5.51109,-3.6191,0,6.59318,291.945,0.150724,-0.485434,0,0.508295,19.9525,2.08535,0,0.150724,2.08535,90,5.51109,-3.6191,0,6.59318,291.945,0.150724,-0.485434,0,0.508295,19.9525,2.08535,0,0.150724,2.08535,90,5.51109,-3.6191,0,6.59318,291.945,0.150724,-0.485434,0,0.508295,19.9525,2.08535,0,0.150724,2.08535,90,5.51109,-3.6191,0,6.59318,291.945,0.150724,-0.485434,0,0.508295,19.9525,2.08535,0,0.150724,2.08535,90,5.51109,-3.6191,0,6.59318,291.945,0.150724,-0.485434,0,0.508295,19.9525,2.08535,0,0.150724,2.08535,90,5.51109,-3.6191,0,6.59318,291.945,0.150724,-0.485434,0,0.508295,19.9525,2.08535,0,0.150724,2.08535,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
1,4,5.81092,-0.751603,0,5.85932,690.271,0.250982,-0.57467,0,0.627087,19.9561,2.0757,0,0.250982,2.0757,139,5.81092,-0.751603,0,5.85932,690.271,0.250982,-0.57467,0,0.627087,19.9561,2.0757,0,0.250982,2.0757,139,5.81092,-0.751603,0,5.85932,690.271,0.250982,-0.57467,0,0.627087,19.9561,2.0757,0,0.250982,2.0757,139,5.81092,-0.751603,0,5.85932,690.271,0.250982,-0.57467,0,0.627087,19.9561,2.0757,0,0.250982,2.0757,139,5.81092,-0.751603,0,5.85932,690.271,0.250982,-0.57467,0,0.627087,19.9561,2.0757,0,0.250982,2.0757,139,5.81092,-0.751603,0,5.85932,690.271,0.250982,-0.57467,0,0.627087,19.9561,2.0757,0,0.250982,2.0757,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
1,5,-4.37083,-6.85668,0,8.13131,330.75,-0.211786,-0.878575,0,0.903741,0.143671,4.80855,0,0.211786,4.80855,203,-4.37083,-6.85668,0,8.13131,330.75,-0.211786,-0.878575,0,0.903741,0.143671,4.80855,0,0.211786,4.80855,203,-4.37083,-6.85668,0,8.13131,330.75,-0.211786,-0.878575,0,0.903741,0.143671,4.80855,0,0.211786,4.80855,203,-4.37083,-6.85668,0,8.13131,330.75,-0.211786,-0.878575,0,0.903741,0.143671,4.80855,0,0.211786,4.80855,203,-4.37083,-6.85668,0,8.13131,330.75,-0.211786,-0.878575,0,0.903741,0.143671,4.80855,0,0.211786,4.80855,203,-4.37083,-6.85668,0,8.13131,330.75,-0.211786,-0.878575,0,0.903741,0.143671,4.80855,0,0.211786,4.80855,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
1,6,-4.26157,-5.55548,0,7.00174,574.388,-0.282684,-1.00858,0,1.04745,0.139443,4.7923,0,0.282684,4.7923,266,-4.26157,-5.55548,0,7.00174,574.388,-0.282684,-1.00858,0,1.04745,0.139443,4.7923,0,0.282684,4.7923,266,-4.26157,-5.55548,0,7.00174,574.388,-0.282684,-1.00858,0,1.04745,0.139443,4.7923,0,0.282684,4.7923,266,-4.26157,-5.55548,0,7.00174,574.388,-0.282684,-1.00858,0,1.04745,0.139443,4.7923,0,0.282684,4.7923,266,-4.26157,-5.55548,0,7.00174,574.388,-0.282684,-1.00858,0,1.04745,0.139443,4.7923,0,0.282684,4.7923,266,-4.26157,-5.55548,0,7.00174,574.388,-0.282684,-1.00858,0,1.04745,0.139443,4.7923,0,0.282684,4.7923,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1,7,-3.887,-4.09649,0,5.64713,830.814,-0.350323,-1.11638,0,1.17006,0.134133,4.77438,0,0.350323,4.77438,335,-3.887,-4.09649,0,5.64713,830.814,-0.350323,-1.11638,0,1.17006,0.134133,4.77438,0,0.350323,4.77438,335,-3.887,-4.09649,0,5.64713,830.814,-0.350323,-1.11638,0,1.17006,0.134133,4.77438,0,0.350323,4.77438,335,-3.887,-4.09649,0,5.64713,830.814,-0.350323,-1.11638,0,1.17006,0.134133,4.77438,0,0.350323,4.77438,335,-3.887,-4.09649,0,5.64713,830.814,-0.350323,-1.11638,0,1.17006,0.134133,4.77438,0,0.350323,4.77438,335,-3.887,-4.09649,0,5.64713,830.814,-0.350323,-1.11638,0,1.17006,0.134133,4.77438,0,0.350323,4.77438,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1
1,8,-3.6364,-3.14115,0,4.80523,932.24,-0.413666,-1.20457,0,1.27362,0.127849,4.75521,0,0.413666,4.75521,355,-3.6364,-3.14115,0,4.80523,932.24,-0.413666,-1.20457,0,1.27362,0.127849,4.75521,0,0.413666,4.75521,355,-3.6364,-3.14115,0,4.80523,932.24,-0.413666,-1.20457,0,1.27362,0.127849,4.75521,0,0.413666,4.75521,355,-3.6364,-3.14115,0,4.80523,932.24,-0.413666,-1.20457,0,1.27362,0.127849,4.75521,0,0.413666,4.75521,355,-3.6364,-3.14115,0,4.80523,932.24,-0.413666,-1.20457,0,1.27362,0.127849,4.75521,0,0.413666,4.75521,355,-3.6364,-3.14115,0,4.80523,932.24,-0.413666,-1.20457,0,1.27362,0.127849,4.75521,0,0.413666,4.75521,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
1,9,-3.86144,-3.07241,0,4.93462,861.381,-0.477741,-1.28528,0,1.3712,0.120659,4.73505,0,0.477741,4.73505,371,-3.86144,-3.07241,0,4.93462,861.381,-0.477741,-1.28528,0,1.3712,0.120659,4.73505,0,0.477741,4.73505,371,-3.86144,-3.07241,0,4.93462,861.381,-0.477741,-1.28528,0,1.3712,0.120659,4.73505,0,0.477741,4.73505,371,-3.86144,-3.07241,0,4.93462,861.381,-0.477741,-1.28528,0,1.3712,0.120659,4.73505,0,0.477741,4.73505,371,-3.86144,-3.07241,0,4.93462,861.381,-0.477741,-1.28528,0,1.3712,0.120659,4.73505,0,0.477741,4.73505,371,-3.86144,-3.07241,0,4.93462,861.381,-0.477741,-1.28528,0,1.3712,0.120659,4.73505,0,0.477741,4.73505,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1
